nohup: ignoring input
2022-08-12 06:05:44.326703: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2022-08-12 06:05:44.326746: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2022-08-12 06:05:47.391181: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2022-08-12 06:05:47.391226: W tensorflow/stream_executor/cuda/cuda_driver.cc:269] failed call to cuInit: UNKNOWN ERROR (303)
2022-08-12 06:05:47.391250: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (ubuntu): /proc/driver/nvidia/version does not exist
2022-08-12 06:05:47.391574: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
random - 000250 :  3.2881895701090493e-06
random - 000251 :  1.7007191975911457e-05
random - 000252 :  2.384185791015625e-05
random - 000253 :  2.5312105814615887e-05
random - 000254 :  2.2371610005696613e-05
random - 000255 :  2.1656354268391926e-05
random - 000256 :  5.831321080525716e-06
random - 000257 :  6.059805552164714e-06
random - 000258 :  1.1801719665527344e-05
random - 000259 :  1.7722447713216145e-05
random - 000260 :  1.6570091247558594e-05
random - 000261 :  5.9604644775390625e-06
random - 000262 :  3.238519032796224e-06
random - 000263 :  6.0717264811197914e-05
random - 000264 :  3.0120213826497395e-05
random - 000265 :  5.712111790974935e-06
random - 000266 :  1.7881393432617188e-05
random - 000267 :  1.9073486328125e-05
random - 000268 :  2.487500508626302e-05
random - 000269 :  4.957119623819987e-06
random - 000270 :  1.2954076131184896e-05
random - 000271 :  1.899401346842448e-05
random - 000272 :  2.0186106363932293e-05
random - 000273 :  2.757708231608073e-05
random - 000274 :  6.328026453653972e-06
random - 000275 :  1.915295918782552e-05
random - 000276 :  3.427267074584961e-06
random - 000277 :  3.3577283223470053e-06
random - 000278 :  3.2186508178710938e-06
random - 000279 :  1.3947486877441406e-05
random - 000280 :  1.8278757731119793e-05
random - 000281 :  3.417332967122396e-06
random - 000282 :  1.4384587605794271e-05
random - 000283 :  3.62396240234375e-05
random - 000284 :  2.0821889241536457e-05
random - 000285 :  1.619259516398112e-06
random - 000286 :  2.09808349609375e-05
random - 000287 :  2.300739288330078e-05
random - 000288 :  1.5695889790852864e-06
random - 000289 :  1.7563501993815105e-05
random - 000290 :  1.2556711832682291e-05
random - 000291 :  3.170967102050781e-05
random - 000292 :  2.6146570841471355e-05
random - 000293 :  2.396106719970703e-05
random - 000294 :  1.4185905456542969e-05
random - 000295 :  3.337860107421875e-06
