No,torch_tf_max_diff,torch_tf_mean_diff,torch_mindspore_max_diff,torch_mindspore_mean_diff,tf_mindspore_max_diff,tf_mindspore_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
71,1.17E-05,1.70E-06,1.17E-05,1.69E-06,2.19E-05,2.58E-07,1.51E-05,1.22E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
72,1.17E-05,1.75E-06,1.22E-05,1.76E-06,1.28E-05,5.49E-07,1.22E-05,1.35E-06,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
73,9.30E-06,1.50E-06,1.05E-05,1.66E-06,1.65E-05,7.36E-07,1.21E-05,1.30E-06,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
74,1.91E-05,1.32E-06,1.74E-05,1.32E-06,1.81E-05,4.70E-07,1.82E-05,1.04E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
75,4.17E-06,1.10E-06,3.93E-06,1.09E-06,5.60E-06,2.42E-07,4.57E-06,8.10E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
76,1.98E-05,1.15E-06,2.19E-05,1.33E-06,3.10E-05,7.06E-07,2.42E-05,1.06E-06,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
77,3.15E-05,2.02E-06,3.17E-05,1.98E-06,2.10E-05,3.32E-07,2.81E-05,1.45E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:8  from:1 to:2 operator:-1  ,0
78,1.81E-05,1.28E-06,1.67E-05,1.38E-06,1.24E-05,5.45E-07,1.57E-05,1.07E-06,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:7  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
79,3.17E-05,2.10E-06,2.43E-05,2.10E-06,2.36E-05,5.27E-07,2.65E-05,1.58E-06,0:1 1:1 2:2 ,from:0 to:1 operator:6  from:0 to:2 operator:8  from:1 to:2 operator:-1  ,0
80,7.30E-06,1.10E-06,5.72E-06,1.06E-06,6.62E-06,2.69E-07,6.55E-06,8.10E-07,0:1 1:1 2:2 ,from:0 to:1 operator:10  from:0 to:2 operator:8  from:1 to:2 operator:-1  ,0
